id,name,apiName,category,effect,target,status,reason
149,Psywave,psywave,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
150,Splash,splash,status,None,user,todo,no explicit mechanic handler
151,Acid Armor,acid-armor,status,StatChange,user,implemented,effect handler present: statchange
152,Crabhammer,crabhammer,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
153,Explosion,explosion,physical,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
154,Fury Swipes,fury-swipes,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
155,Bonemerang,bonemerang,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
156,Rest,rest,status,None,user,todo,no explicit mechanic handler
157,Rock Slide,rock-slide,physical,Flinch,all-opponents,partial,multi-target semantic may differ in singles-first mode
158,Hyper Fang,hyper-fang,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
159,Sharpen,sharpen,status,StatChange,user,implemented,effect handler present: statchange
160,Conversion,conversion,status,None,user,todo,no explicit mechanic handler
161,Tri Attack,tri-attack,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
162,Super Fang,super-fang,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
163,Slash,slash,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
164,Substitute,substitute,status,None,user,implemented,hardcoded name rule present
165,Struggle,struggle,physical,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
166,Sketch,sketch,status,None,selected-pokemon,implemented,hardcoded name rule present
167,Triple Kick,triple-kick,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
168,Thief,thief,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
169,Spider Web,spider-web,status,None,selected-pokemon,todo,no explicit mechanic handler
170,Mind Reader,mind-reader,status,None,selected-pokemon,todo,no explicit mechanic handler
171,Nightmare,nightmare,status,None,selected-pokemon,todo,no explicit mechanic handler
172,Flame Wheel,flame-wheel,physical,Burn,selected-pokemon,implemented,effect handler present: burn
173,Snore,snore,special,Flinch,selected-pokemon,implemented,effect handler present: flinch
174,Curse,curse,status,None,specific-move,todo,no explicit mechanic handler
175,Flail,flail,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
176,Conversion 2,conversion-2,status,None,selected-pokemon,todo,no explicit mechanic handler
177,Aeroblast,aeroblast,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
178,Cotton Spore,cotton-spore,status,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
179,Reversal,reversal,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
180,Spite,spite,status,None,selected-pokemon,todo,no explicit mechanic handler
181,Powder Snow,powder-snow,special,Freeze,all-opponents,partial,multi-target semantic may differ in singles-first mode
182,Protect,protect,status,Safeguard,user,implemented,effect handler present: safeguard
183,Mach Punch,mach-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
184,Scary Face,scary-face,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
185,Feint Attack,feint-attack,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
186,Sweet Kiss,sweet-kiss,status,None,selected-pokemon,todo,no explicit mechanic handler
187,Belly Drum,belly-drum,status,None,user,todo,no explicit mechanic handler
188,Sludge Bomb,sludge-bomb,special,Poison,selected-pokemon,implemented,effect handler present: poison
189,Mud Slap,mud-slap,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
190,Octazooka,octazooka,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
191,Spikes,spikes,status,None,opponents-field,todo,no explicit mechanic handler
192,Zap Cannon,zap-cannon,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
193,Foresight,foresight,status,None,selected-pokemon,implemented,hardcoded name rule present
194,Destiny Bond,destiny-bond,status,None,user,todo,no explicit mechanic handler
195,Perish Song,perish-song,status,None,all-pokemon,todo,no explicit mechanic handler
196,Icy Wind,icy-wind,special,StatChange,all-opponents,partial,multi-target semantic may differ in singles-first mode
197,Detect,detect,status,None,user,todo,no explicit mechanic handler
198,Bone Rush,bone-rush,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
199,Lock On,lock-on,status,None,selected-pokemon,todo,no explicit mechanic handler
200,Outrage,outrage,physical,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
201,Sandstorm,sandstorm,status,None,entire-field,todo,no explicit mechanic handler
202,Giga Drain,giga-drain,special,Drain,selected-pokemon,implemented,effect handler present: drain
203,Endure,endure,status,None,user,todo,no explicit mechanic handler
204,Charm,charm,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
205,Rollout,rollout,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
206,False Swipe,false-swipe,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
207,Swagger,swagger,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
208,Milk Drink,milk-drink,status,None,user,implemented,hardcoded name rule present
209,Spark,spark,physical,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
210,Fury Cutter,fury-cutter,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
211,Steel Wing,steel-wing,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
212,Mean Look,mean-look,status,None,selected-pokemon,todo,no explicit mechanic handler
213,Attract,attract,status,None,selected-pokemon,todo,no explicit mechanic handler
214,Sleep Talk,sleep-talk,status,None,user,todo,no explicit mechanic handler
215,Heal Bell,heal-bell,status,None,user-and-allies,todo,no explicit mechanic handler
216,Return,return,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
217,Present,present,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
218,Frustration,frustration,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
219,Safeguard,safeguard,status,None,users-field,todo,no explicit mechanic handler
220,Pain Split,pain-split,status,None,selected-pokemon,todo,no explicit mechanic handler
221,Sacred Fire,sacred-fire,physical,Burn,selected-pokemon,implemented,effect handler present: burn
222,Magnitude,magnitude,physical,None,all-other-pokemon,partial,base damage path likely works; special mechanic not confirmed
223,Dynamic Punch,dynamic-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
224,Megahorn,megahorn,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
225,Dragon Breath,dragon-breath,special,Paralyze,selected-pokemon,implemented,effect handler present: paralyze
226,Baton Pass,baton-pass,status,None,user,implemented,hardcoded name rule present
227,Encore,encore,status,None,selected-pokemon,implemented,hardcoded name rule present
228,Pursuit,pursuit,physical,None,selected-pokemon,implemented,hardcoded name rule present
229,Rapid Spin,rapid-spin,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
230,Sweet Scent,sweet-scent,status,None,all-opponents,todo,no explicit mechanic handler
231,Iron Tail,iron-tail,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
232,Metal Claw,metal-claw,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
233,Vital Throw,vital-throw,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
234,Morning Sun,morning-sun,status,None,user,todo,no explicit mechanic handler
235,Synthesis,synthesis,status,None,user,todo,no explicit mechanic handler
236,Moonlight,moonlight,status,None,user,todo,no explicit mechanic handler
237,Hidden Power,hidden-power,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
238,Cross Chop,cross-chop,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
239,Twister,twister,special,Flinch,all-opponents,partial,multi-target semantic may differ in singles-first mode
240,Rain Dance,rain-dance,status,None,entire-field,todo,no explicit mechanic handler
241,Sunny Day,sunny-day,status,None,entire-field,todo,no explicit mechanic handler
242,Crunch,crunch,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
243,Mirror Coat,mirror-coat,special,None,specific-move,partial,base damage path likely works; special mechanic not confirmed
244,Psych Up,psych-up,status,None,selected-pokemon,todo,no explicit mechanic handler
245,Extreme Speed,extreme-speed,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
246,Ancient Power,ancient-power,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
247,Shadow Ball,shadow-ball,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
248,Future Sight,future-sight,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
249,Rock Smash,rock-smash,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
250,Whirlpool,whirlpool,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
251,Beat Up,beat-up,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
252,Fake Out,fake-out,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
253,Uproar,uproar,special,None,random-opponent,partial,base damage path likely works; special mechanic not confirmed
254,Stockpile,stockpile,status,StatChange,user,implemented,effect handler present: statchange
255,Spit Up,spit-up,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
256,Swallow,swallow,status,None,user,todo,no explicit mechanic handler
257,Heat Wave,heat-wave,special,Burn,all-opponents,partial,multi-target semantic may differ in singles-first mode
258,Hail,hail,status,None,entire-field,todo,no explicit mechanic handler
259,Torment,torment,status,None,selected-pokemon,todo,no explicit mechanic handler
260,Flatter,flatter,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
261,Will O Wisp,will-o-wisp,status,Burn,selected-pokemon,implemented,effect handler present: burn
262,Memento,memento,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
263,Facade,facade,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
264,Focus Punch,focus-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
265,Smelling Salts,smelling-salts,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
266,Follow Me,follow-me,status,None,user,todo,no explicit mechanic handler
267,Nature Power,nature-power,status,None,selected-pokemon,todo,no explicit mechanic handler
268,Charge,charge,status,StatChange,user,implemented,effect handler present: statchange
269,Taunt,taunt,status,None,selected-pokemon,todo,no explicit mechanic handler
270,Helping Hand,helping-hand,status,None,ally,todo,no explicit mechanic handler
271,Trick,trick,status,None,selected-pokemon,implemented,hardcoded name rule present
272,Role Play,role-play,status,None,selected-pokemon,implemented,hardcoded name rule present
273,Wish,wish,status,None,user,todo,no explicit mechanic handler
274,Assist,assist,status,None,user,todo,no explicit mechanic handler
275,Ingrain,ingrain,status,None,user,todo,no explicit mechanic handler
276,Superpower,superpower,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
277,Magic Coat,magic-coat,status,None,user,todo,no explicit mechanic handler
278,Recycle,recycle,status,None,user,todo,no explicit mechanic handler
279,Revenge,revenge,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
280,Brick Break,brick-break,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
281,Yawn,yawn,status,None,selected-pokemon,todo,no explicit mechanic handler
282,Knock Off,knock-off,physical,None,selected-pokemon,implemented,hardcoded name rule present
283,Endeavor,endeavor,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
284,Eruption,eruption,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
285,Skill Swap,skill-swap,status,None,selected-pokemon,implemented,hardcoded name rule present
286,Imprison,imprison,status,None,user,todo,no explicit mechanic handler
287,Refresh,refresh,status,None,user,todo,no explicit mechanic handler
288,Grudge,grudge,status,None,user,todo,no explicit mechanic handler
289,Snatch,snatch,status,None,user,todo,no explicit mechanic handler
290,Secret Power,secret-power,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
291,Dive,dive,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
292,Arm Thrust,arm-thrust,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
293,Camouflage,camouflage,status,None,user,todo,no explicit mechanic handler
294,Tail Glow,tail-glow,status,StatChange,user,implemented,effect handler present: statchange
295,Luster Purge,luster-purge,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
296,Mist Ball,mist-ball,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
297,Feather Dance,feather-dance,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
298,Teeter Dance,teeter-dance,status,None,all-other-pokemon,todo,no explicit mechanic handler
299,Blaze Kick,blaze-kick,physical,Burn,selected-pokemon,implemented,effect handler present: burn
300,Mud Sport,mud-sport,status,None,entire-field,todo,no explicit mechanic handler
301,Ice Ball,ice-ball,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
302,Needle Arm,needle-arm,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
303,Slack Off,slack-off,status,None,user,todo,no explicit mechanic handler
304,Hyper Voice,hyper-voice,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
305,Poison Fang,poison-fang,physical,Poison,selected-pokemon,implemented,effect handler present: poison
306,Crush Claw,crush-claw,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
307,Blast Burn,blast-burn,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
308,Hydro Cannon,hydro-cannon,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
309,Meteor Mash,meteor-mash,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
310,Astonish,astonish,physical,Flinch,selected-pokemon,implemented,effect handler present: flinch
311,Weather Ball,weather-ball,special,None,selected-pokemon,implemented,hardcoded name rule present
312,Aromatherapy,aromatherapy,status,None,user-and-allies,todo,no explicit mechanic handler
313,Fake Tears,fake-tears,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
314,Air Cutter,air-cutter,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
315,Overheat,overheat,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
316,Odor Sleuth,odor-sleuth,status,None,selected-pokemon,implemented,hardcoded name rule present
317,Rock Tomb,rock-tomb,physical,StatChange,selected-pokemon,implemented,effect handler present: statchange
318,Silver Wind,silver-wind,special,StatChange,selected-pokemon,implemented,effect handler present: statchange
319,Metal Sound,metal-sound,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
320,Grass Whistle,grass-whistle,status,Sleep,selected-pokemon,implemented,effect handler present: sleep
321,Tickle,tickle,status,StatChange,selected-pokemon,implemented,effect handler present: statchange
322,Cosmic Power,cosmic-power,status,StatChange,user,implemented,effect handler present: statchange
323,Water Spout,water-spout,special,None,all-opponents,partial,base damage path likely works; special mechanic not confirmed
324,Signal Beam,signal-beam,special,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
325,Shadow Punch,shadow-punch,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
326,Extrasensory,extrasensory,special,Flinch,selected-pokemon,implemented,effect handler present: flinch
327,Sky Uppercut,sky-uppercut,physical,None,selected-pokemon,partial,base damage path likely works; special mechanic not confirmed
